"","question"
"627","어머니께서 BMW차량을 소유하고 계시다고 했는데 차종을 이야기해보세요."
"628","기어 옆에 동그란게 있죠?"
"629","그것의 이름은 어떻게 되나요?"
"630","1,3,5,7 그리고 2,4,6,8 등 이름이 많은데 그것의 분류는 어떻게 되는지 알고 계시나요?"
"631","우리회사에 대하여"
"632","나에 대하여"
"633","나의 힘든시기"
"634","앞으로 트렌드 설명"
"635","본인이 말한 트렌드 영어로 외국인에게 설명해보아라"
"636","책과 영화 중 선호하는것은? 이유"
"637","회사 선택 기준은?"
"638","가장 힘들었던 것은?"
"639","회사 입사 후 비전은?"
"640","이전에 어디서 일했나요"
"641","어디사나요? 버스로 얼마나 걸려요?"
"642","얼마 받고 싶나요"
"643","지원이유"
"644","최신화 사업이 무었인지 아느냐"
"645","관련 전문 단어에 대한 질문"
"646","경력사항"
"647","성격의 단점"
"648","회사를 선택한 이유"
"649","경력사항에 대한 질문"
"650","지원동기 및 미래 포부"
"651","사회경험에 대해서 .."
"652","지원동기 및 전반적인 학교생활(학과의 특성, 전공 수업 등)"
"653","경험 관련(실패한 경험 등)"
"654","상황에 따른 토론 / 직무 관련 내용 질문"
"655","울산으로 오게된 이유?"
"656","어떠한 업무를 해야하는데 할수있을지?"
"657","우리회사에 지원하게 된 동기"
"658","공장의 외관에 대해 느낀점을 말해보세요."
"659","우리 회사의 사업 품목에 대해 알고있습니까? 알고있다면 말해보세요"
"660","생산직 직원들과 많이 부딪힐예정인데 어떻게 하시겠습니까?"
"661","kg의 뜻"
"662","우리 회사에 도움이 될 수 있는 일"
"663","마지막으로 하고 싶은 말"
"664","한국서부발전의 어떤점이 좋아 지원했는가?"
"665","직무에 관한 자기역량 어필"
"666","업무를 해본 경험과 어떤 노력을 했는지"
"667","Why did you apply to this job?"
"668","왜 우리회사를 선탹하였는가?"
"669","지원한 업무가 무슨일인지 설명하시오."
"670","1분 자기소개"
"671","본인이 한 창의적인 행동"
"672","합격한다면 어떤 부서에 가고 싶은지"
"673","공공기관이 갖춰야 할 덕목?"
"674","일경험"
"675","단기근무가능"
"676","누구나 할수 있다."
"677","집과 거리가 먼데 다니는데 문제가 있지 않을까요?"
"678","이전 회사를 그만 둔 이유가 무엇인가요?"
"679","조용해 보이는데 사람을 많이 상대하는 부서인데 괜찮겠어요?"
"680","편집 경험은 있는지"
"681","요즘 유행하는 밈 아는 게 있는지"
"682","얼마 정도 일을 할 수 있는지"
"683","평소 공연을 얼마나 보시는지?"
"684","집콘을 기획하신다면 어떻게 하실건지?"
"685","코로나가 장기화 된다면 어떻게 하실건지?"
"686","회계 관련 경험이 있는지?"
"687","공연기획을 해본다면 어떤 소재로 하고 싶은지?"
"688","포스트 코로나에 공연 부문이 나아가야 할 방향성"
"689","종전근무지 업무는 ? 퇴사사유"
"690","화사에 지원동기와 기업에 대한 이해도 (알바경험얘기함)"
"691","강의 경험 (횟수및 교육인원) 운전가능여부"
"692","전에일하던곳에서는 어떠한일을하엿는가"
"693","자신이 겪어본 경험"
"694","자신에대한 예기를 많이꺼낼수있게 유도질문"
"695","경력사항 전직장에서 했었던 일"
"696","최근에 업계관련이슈"
"697","보유역량"
"698","지원동기"
"699","협력업체 다닌 곳과 어떤 업무를 했는지"
"700","회사를 선택한 이유"
"701","생산관리에서 제일 중요한점은?"
"702","재직했었던 회사의 식품군과 다뤘던 제품수?"
"703","재직했었던 회사의 노무비율과 원부재료비율?"
"704","생산관리에서 주업무? 출근하자마자 하는일 나열해보시오"
"705","왜 자격증이 없냐"
"706","현대그린푸드에 대한 대외적 이미지"
"707","회사 지원동기"
"708","가장 힘들었던 경험은?"
"709","1분 자기소개"
"710","코웨이 지원동기"
"711","디지털 트랜스포메이션에서 업무에 적용하면 좋을만한 기술은?"
"712","적용하면 어떤식으로 적용할지?"
"713","해당 기술에 어떠한 지식을 갖고 있는지"
"714","경력 사항에 대한 질문?"
"715","업무에 대해 궁금한게 있는지?"
"716","우리 회사가 면접자를 택해야 하는 이유?"
"717","대기 중 보여드렸던 영상 중 감격 깊은 장면은?"
"718","우리 회사의 강점은?"
"719","회사를 선택한 이유"
"720","자기소개"
"721","이력서 보시고 전에 일 할 때 어떤 일을 하였는지"
"722","꽃 관련 질문( 계절별 꽃 1개씩 말하기등등)"
"723","경력사항에 관한질문"
"724","서비스의 대한 자신만의 신념이 있나"
"725","정직원이 되기위한 노력"
"726","어떻게 지원하게 되었는지?"
"727","전 직장에서는 어떤 직무를 수행하였는지?"
"728","입사하게 된다면 직무를 잘 수행할거라 생각하는지?"
"729","한글로 자기소개"
"730","호텔에 대해서 사전조사 했는지"
"731","햇빛알러지 있는지"
"732","제일 힘들게 일한게 어떤 상황이었는지"
"733","호텔 경력이 긴데 어떻게 버텼는지"
"734","그렇다면 그 호텔에서 뭘 배웠는지"
"735","자기소개 및 장단점"
"736","경력관련"
"737","원하는 부서"
"738","과가 프랑스어과인데 왜 서비스를 하려고 하는지"
"739","서비스직 경험이 있는지"
"740","기본적인 경험 질문"
"741","냉동사이클의 구성을 설명하시오"
"742","강제순환 공조기와 외기도입식 공조순환방식의 차이를 설명하시오"
"743","현장 안전관리에 있어 중요하다고 생각하는 점을 얘기해보시오"
"744","자기소개"
"745","기억에 남는 착한손님, 나쁜손님"
"746","취미"
"747","성격이 급한편? 차분한편?"
"748","지금 딱 생각나는 친구가 있나"
"749","마지막할말"
"750","회사와 이 업무에 대해 알아보셨나요?"
"751","문화적 차이에 대해 괜찮으실지...?"
"752","전에 일했던 회사가 어땠나요?"
"753","자기소개"
"754","지원동기"
"755","영어자기소개"
"756","경력에대한 질문"
"757","이직하려는 이유"
"758","자기소개 지원동기"
"759","경력사항에 대한 질문"
"760","어도비 프로그램 사용 유무"
"761","회사와 자택 거리"
"762","여기오기전에 어떤일을 했습니까"
"763","어떤 역량을 발휘 할 수 있습니까"
"764","회사를 선택한 이유"
"765","전 직장에서 했던 업무는?"
"766","어떤 업무를 두고 이런 업무도 했었나요?"
"767","이런이런 업무를 할껀데 괜찮나요?"
"768","우리회사를 어떻게 알고있는지?"
"769","하게 될 직무에 어떤 준비를 하였는지?"
"770","이직사유"
"771","직무 관련 질문"
"772","회사에서 사용하는 시스템 관련 질문"
"773","회사에 궁금한점"
"774","전에 회사에서 어떤일을 하였는가?"
"775","어떤 이유로 이직 하게 되었는가?"
"776","할수있는 프로그램과 어느정도의 사용가능한가?"
"777","자동차 일 경험"
"778","안전사고"
"779","업무숙지"
"780","간단한 자기소개"
"781","출퇴근 어떻게 할 것인지"
"782","이전직장은 왜 그만두었는지"
"783","첫직장과 두번째 직장의 업종이 다른데 왜 그런지"
"784","다른회사에는 면접이 잡혀있는지"
"785","1분 자기소개"
"786","마지막으로 할말"
"787","자기소개서기반의 경력사항 질문"
"788","전 회사를 그만 둔 이유"
"789","향후 회사의 신사업 제안 (토론 면접)"
"790","학교 등에서 동호회 등 그룹활동 경험"
"791","자기소개"
"792","지원동기"
"793","왜 당신을 뽑아야 하는가"
"794","지원동기"
"795","마지막할말"
"796","피티"
"797","경력사항과 본인의 강점은?"
"798","미래에 동원산업이 지향 되어야 할 점은?"
"799","동원인이 된다면 각오와 목표"
"800","이전 회사에서 맡은 업무에 대한 상세질문"
"801","자회사 재무상태표 본적있는지?"
"802","이전 회사를 그만둔 이유"
"803","갑.을 관계에 대한 기성세대와 현세대의 관점 차이는 무엇이라 생각하는가?"
"804","학창 시절 맡았던 팀 프로젝트 설명과 프로그램 사용한거 어느 여부까지 사용 가능한지 설명해보아라"
"805","회사 직무 선택 이유는?"
"806","긴장될 때 어떻게 푸는지?"
"807","나의 성격은?"
"808","회사의 부당한 업무에 대해 어떻게 생각하는지?"
"809","자기소개"
"810","경력을 토대로 질문"
"811","자신의 성격이 어떠한지?"
"812","회사 선택한 이유"
"813","퇴사 후 이직 이유"
"814","자신을 한단어로 표현한다면?"
"815","경력사항에 대한 간단한 설명"
"816","간단한 회사정보"
"817","성격 장단점"
"818","경력이 없는데 괜찮겠는가"
"819","지방근무 괜찮겠는가"
"820","전기도면 볼 수 있는가 등"
"821","이직사유 중 가장 와 닿을수 있는 이유가 있나요?"
"822","지원자가 생각하는 현대로템의 미래는?"
"823","가장 기본적인 저희회사에 매출액은?"
"824","방산, 철도 둘중 왜 (두곳중 한곳)이곳을 선택했나?"
"825","연봉이 적어젔는데 그에 대해선 어떻게생각하시는지?"
"826","왜 1-2년 갭이 있나요? 이 때 뭘 하셨나요?"
"827","대학원 전공을 선택한 이유는?"
"828","업종이 다양하게 바뀐 이유는?"
"829","경력사항"
"830","장단점"
"831","계약 도중 다른곳에 입사가 되면 어떻게 할것이냐"
"832","PR이란 무엇이라고 생각하나"
"833","왜 PR에 관심을 가지게 되었나"
"834","기억에 남는 특정 기업 및 제품의 PR이나 마케팅"
"835","경력사항에대한 질문"
"836","해당직무에대해 잘 알고 있는지"
"837","상황대처능력 질문"
"838","에어컨 설치가 아니더라도 관련 설치 작업을 한적이 있는가?"
"839","어디서 공고를 보았는가?"
"840","앞으로 이 일을 하는 비전을 알고 있는가?"
"841","이전 경력 관련된 질문 굉장히 많이함"
"842","퇴사한 이유는? 여기에 합격해서 다니게 될 동안 똑같은 어려움을 만난다면?"
"843","스트레스는 어떻게 푸나요?"
"844","해당 직무 외에 타부서로 이동하게 된다면 어떻게 하겠는지"
"845","신입사원한테 어떤게 가장 중요하다고 생각하는지"
"846","거래처 관리에 있어서 인간적으로vs원칙대로 어느쪽이 중요하다고 생각?"
"847","연봉은 어느정도?"
"848","간단한 영어/일본어 질문"
"849","본인이 해당 직무에 어울리는 이유는?"
"850","요즘 읽고 있는 책은?"
"851","경력"
"852","다이소 메리트"
"853","왜 다이소인가?"
"854","전직장은 왜그만뒀죠?"
"855","지원한 이유는??"
"856","본인은 어떤성격을 가지고 있나요?"
"857","이 직무를 수행할 때 본인이 내세울 수 있는 강점"
"858","지원한 직무를 스포츠로 비유한다면?"
"859","일을 할 때 가장 중요하다고 생각하는 것은?"
"860","지금 지원한 직무 이외에 다른 직무로 이동권유를 받는다면 갈 의향이 있는가."
"861","이 직무는 무슨 일을 하는 곳이라고 생각하는가"
"862","직무의 강점 및 약점"
"863","직무의 전문성과 이해도"
"864","상황별 대처능력"
"865","1분자기소개"
"866","아성hmp회사에 대해 아는것 말해보세요"
"867","다이소에서 가장 기억에 남는 상품과 이유"
"868","남자친구 있는지"
"869","담배 피는지"
"870","핸드폰 잘 안 만지는지"
"871","자기소개"
"872","회사와 집과의 거리"
"873","직무 특성 극복방안"
"874","회사의 지원동기와 자기소개를 간단히 해주세요"
"875","왜 이 직무를 선택했는지?"
"876","전공이 직무랑 일치하지 않는데 어떻게 생각하나요?"
"877","어떤음식 좋아하는가"
"878","왜 그런 주제를 선택하게 되었는가"
"879","좀 더 학문적으로 연구할 생각은 없는가"
"880","학교생활동안 어떤 사람인지"
"881","옆 사람보다 자격증 없는 이유"
"882","직무 중 자신있는거는"
"883","생기부랑 이력서 보고 질문"
"884","호화 노화"
"885","라면공정"
"886","대학성적"
"887","자기소개서 관련 질문"
"888","소맥분 글루텐 함량에 대한"
"889","동결건조란?"
"890","HACCP의 사전조치는?"
"891","만약에 공장에 비둘기가 침입한다면 어떻게 조치할 것인가?"
"892","지원동기"
"893","회사/반도체 이해도"
"894","업무와 연관된 자신의 강점"
"895","무언가로 자신을 표현 (예시:들꽃,나무 등등-이건 본인이 말해야함)"
"896","본인의 인생관 (인화,창조 등 말하면 됨)"
"897","본받고 싶은 사람"
"898","회사에 다니다가 다른 회사가 들어온다면 지원하겠는가?"
"899","어려운 과목은 무엇인가?"
"900","코로나 전과 후의 취미가 무엇이었는가?"
